commodity,state,district,market,min_price,max_price,modal_price,date
cotton,Gujarat,Rajkot,Rajkot Yard,6340,7443,6892,2026-06-16
cotton,Gujarat,Rajkot,Rajkot Yard,5986,7027,6507,2026-06-17
cotton,Gujarat,Rajkot,Rajkot Yard,6279,7372,6826,2026-06-18
cotton,Gujarat,Rajkot,Rajkot Yard,6378,7487,6933,2026-06-19
cotton,Gujarat,Rajkot,Rajkot Yard,6117,7180,6649,2026-06-20
cotton,Maharashtra,Nagpur,Nagpur Kalamna,6047,7098,6573,2026-06-14
cotton,Maharashtra,Nagpur,Nagpur Kalamna,6451,7574,7013,2026-06-15
cotton,Maharashtra,Nagpur,Nagpur Kalamna,6052,7105,6579,2026-06-16
cotton,Maharashtra,Nagpur,Nagpur Kalamna,6210,7291,6751,2026-06-17
cotton,Maharashtra,Nagpur,Nagpur Kalamna,6043,7094,6569,2026-06-18
cotton,Maharashtra,Nagpur,Nagpur Kalamna,6623,7774,7199,2026-06-19
cotton,Maharashtra,Nagpur,Nagpur Kalamna,6257,7346,6802,2026-06-20
chickpea,Madhya Pradesh,Bhopal,Karond Mandi,4723,5544,5134,2026-06-14
chickpea,Madhya Pradesh,Bhopal,Karond Mandi,4601,5402,5002,2026-06-15
chickpea,Madhya Pradesh,Bhopal,Karond Mandi,4575,5370,4973,2026-06-16
chickpea,Madhya Pradesh,Bhopal,Karond Mandi,4596,5395,4996,2026-06-17
chickpea,Madhya Pradesh,Bhopal,Karond Mandi,4704,5523,5114,2026-06-18
chickpea,Madhya Pradesh,Bhopal,Karond Mandi,4529,5316,4923,2026-06-19
chickpea,Madhya Pradesh,Bhopal,Karond Mandi,4590,5389,4990,2026-06-20
chickpea,Maharashtra,Latur,Latur Market Yard,4885,5734,5310,2026-06-14
chickpea,Maharashtra,Latur,Latur Market Yard,4706,5525,5116,2026-06-15
chickpea,Maharashtra,Latur,Latur Market Yard,4675,5488,5082,2026-06-16
chickpea,Maharashtra,Latur,Latur Market Yard,4554,5346,4950,2026-06-17
chickpea,Maharashtra,Latur,Latur Market Yard,4849,5692,5271,2026-06-18
chickpea,Maharashtra,Latur,Latur Market Yard,4901,5754,5328,2026-06-19
chickpea,Maharashtra,Latur,Latur Market Yard,4643,5450,5047,2026-06-20
potato,Uttar Pradesh,Agra,Agra Fatehabad,1135,1332,1234,2026-06-14
potato,Uttar Pradesh,Agra,Agra Fatehabad,1117,1312,1215,2026-06-15
potato,Uttar Pradesh,Agra,Agra Fatehabad,1111,1304,1208,2026-06-16
potato,Uttar Pradesh,Agra,Agra Fatehabad,1097,1288,1193,2026-06-17
potato,Uttar Pradesh,Agra,Agra Fatehabad,1094,1285,1190,2026-06-18
potato,Uttar Pradesh,Agra,Agra Fatehabad,1085,1274,1180,2026-06-19
potato,Uttar Pradesh,Agra,Agra Fatehabad,1092,1283,1188,2026-06-20
potato,West Bengal,Hooghly,Sheoraphuly Mandi,1229,1442,1336,2026-06-14
potato,West Bengal,Hooghly,Sheoraphuly Mandi,1311,1539,1425,2026-06-15
potato,West Bengal,Hooghly,Sheoraphuly Mandi,1349,1584,1467,2026-06-16
potato,West Bengal,Hooghly,Sheoraphuly Mandi,1337,1570,1454,2026-06-17
potato,West Bengal,Hooghly,Sheoraphuly Mandi,1259,1478,1369,2026-06-18
potato,West Bengal,Hooghly,Sheoraphuly Mandi,1238,1453,1346,2026-06-19
potato,West Bengal,Hooghly,Sheoraphuly Mandi,1250,1467,1359,2026-06-20
mustard,Rajasthan,Alwar,Alwar Mandi,4811,5648,5230,2026-06-14
mustard,Rajasthan,Alwar,Alwar Mandi,4852,5695,5274,2026-06-15
mustard,Rajasthan,Alwar,Alwar Mandi,4907,5760,5334,2026-06-16
mustard,Rajasthan,Alwar,Alwar Mandi,5099,5986,5543,2026-06-17
mustard,Rajasthan,Alwar,Alwar Mandi,4985,5852,5419,2026-06-18
mustard,Rajasthan,Alwar,Alwar Mandi,4856,5701,5279,2026-06-19
mustard,Rajasthan,Alwar,Alwar Mandi,4820,5659,5240,2026-06-20
mustard,Haryana,Karnal,Karnal Mandi,5037,5914,5476,2026-06-14
mustard,Haryana,Karnal,Karnal Mandi,5107,5996,5552,2026-06-15
mustard,Haryana,Karnal,Karnal Mandi,4772,5601,5187,2026-06-16
mustard,Haryana,Karnal,Karnal Mandi,4832,5673,5253,2026-06-17
mustard,Haryana,Karnal,Karnal Mandi,4774,5605,5190,2026-06-18
mustard,Haryana,Karnal,Karnal Mandi,4923,5780,5352,2026-06-19
mustard,Haryana,Karnal,Karnal Mandi,5107,5996,5552,2026-06-20
coffee,Karnataka,Chikmagalur,Chikmagalur APMC,16738,19649,18194,2026-06-14
coffee,Karnataka,Chikmagalur,Chikmagalur APMC,16237,19060,17649,2026-06-15
coffee,Karnataka,Chikmagalur,Chikmagalur APMC,16198,19015,17607,2026-06-16
coffee,Karnataka,Chikmagalur,Chikmagalur APMC,15884,18647,17266,2026-06-17
coffee,Karnataka,Chikmagalur,Chikmagalur APMC,16502,19373,17938,2026-06-18
coffee,Karnataka,Chikmagalur,Chikmagalur APMC,15789,18536,17163,2026-06-19
coffee,Karnataka,Chikmagalur,Chikmagalur APMC,16443,19302,17873,2026-06-20
