N,P,K,temperature,humidity,ph,rainfall,label
34.38,57.58,79.12,23.37,24.68,6.5,47.79,chickpea
27.09,66.54,88.35,24.38,34.19,7.29,56.66,chickpea
16.48,65.47,80.72,15.92,16.06,7.28,50.53,chickpea
17.95,58.54,85.25,20.28,16.27,6.83,49.63,chickpea
18.75,67.62,84.18,20.29,29.49,6.77,53.4,chickpea
27.78,67.54,71.74,20.09,22.98,6.54,50.8,chickpea
32.84,52.31,71.3,23.79,16.45,6.02,46.12,chickpea
18.29,52.9,76.56,20.87,33.76,6.9,43.8,chickpea
31.38,52.15,79.1,24.7,29.11,7.72,30.03,chickpea
17.44,63.01,85.43,22.04,25.78,7.48,53.9,chickpea
18.44,58.61,82.37,18.6,30.37,7.49,46.24,chickpea
20.94,58.78,79.89,17.2,24.65,7.5,37.41,chickpea
29.71,53.0,75.61,20.36,27.43,7.22,48.68,chickpea
27.41,61.44,81.17,18.86,25.07,7.79,41.24,chickpea
121.87,54.93,25.06,25.78,74.18,7.27,98.2,cotton
96.35,51.11,24.16,30.65,87.4,7.3,72.27,cotton
101.52,35.21,29.13,31.44,89.06,7.33,83.7,cotton
99.01,39.42,21.58,29.87,78.82,7.84,64.28,cotton
121.05,54.79,24.75,24.8,84.78,6.52,63.93,cotton
107.42,38.42,24.91,32.11,89.28,7.53,88.78,cotton
90.27,46.31,19.23,29.33,87.21,7.94,78.12,cotton
98.24,43.8,17.94,28.61,74.89,6.96,95.74,cotton
101.09,43.53,19.37,24.19,85.84,6.93,63.3,cotton
116.32,46.13,18.97,23.56,79.69,7.91,68.6,cotton
129.53,48.52,17.46,28.2,79.65,6.77,84.89,cotton
93.22,39.37,19.98,31.5,89.42,7.26,83.5,cotton
99.21,40.27,17.53,33.74,78.82,6.85,105.97,cotton
113.53,39.03,15.29,28.04,86.31,6.72,76.26,cotton
107.2,41.49,21.85,25.43,76.9,7.13,106.98,cotton
119.08,42.7,21.24,23.7,83.71,6.65,97.57,cotton
100.32,46.84,23.44,31.3,85.13,6.84,92.23,cotton
101.77,41.98,22.28,29.8,81.44,7.63,75.71,cotton
109.66,45.27,23.97,32.91,86.53,6.85,65.51,cotton
108.56,42.01,17.4,29.23,86.02,7.85,68.38,cotton
129.31,47.16,22.49,23.63,70.49,7.0,96.69,cotton
105.71,42.44,18.22,33.01,71.81,6.52,91.07,cotton
115.41,53.51,20.07,22.18,84.35,7.05,67.28,cotton
110.68,47.35,21.86,33.65,87.01,7.17,100.38,cotton
107.29,40.05,17.66,22.21,72.47,7.05,65.99,cotton
93.04,49.31,23.32,32.13,76.84,6.79,94.41,cotton
118.12,45.16,24.05,26.02,82.32,7.08,101.06,cotton
101.29,37.43,19.18,26.86,89.67,7.87,109.7,cotton
99.34,47.8,17.31,31.22,86.1,6.83,78.83,cotton
120.58,53.77,28.02,24.88,74.24,7.44,97.34,cotton
102.36,38.0,23.5,27.45,70.08,6.99,68.23,cotton
114.79,46.32,16.94,24.18,80.48,7.24,77.16,cotton
128.59,45.6,23.82,23.8,86.04,6.86,96.92,cotton
122.92,44.47,24.75,26.52,80.42,6.71,61.38,cotton
91.33,39.75,28.83,25.72,78.5,7.12,103.25,cotton
116.31,35.23,27.11,23.91,72.67,7.67,100.54,cotton
127.04,47.93,23.25,30.37,89.61,7.08,81.21,cotton
107.39,53.17,29.25,29.79,74.33,6.57,100.69,cotton
110.08,52.23,20.42,22.21,87.6,7.75,62.04,cotton
95.09,38.5,21.4,33.43,72.87,7.9,104.92,cotton
87.53,58.76,47.72,16.54,55.19,6.26,89.92,wheat
82.65,54.9,42.88,17.21,62.9,7.06,62.56,wheat
87.85,47.62,46.87,24.43,55.96,6.16,50.41,wheat
92.93,35.97,36.54,12.16,54.66,6.85,63.27,wheat
78.86,49.19,45.5,16.38,57.59,6.41,79.63,wheat
76.0,42.67,30.88,24.24,66.2,6.4,77.41,wheat
74.16,59.9,33.0,12.99,50.97,7.13,47.42,wheat
75.24,39.28,49.04,20.18,61.68,6.92,60.22,wheat
75.65,55.03,40.99,21.11,51.84,6.12,53.61,wheat
86.88,59.0,43.05,21.06,69.54,6.55,63.75,wheat
85.23,58.32,38.07,20.76,57.02,6.69,42.75,wheat
73.29,48.43,30.45,12.46,58.15,6.37,59.71,wheat
89.12,41.53,32.3,17.54,46.04,7.3,45.08,wheat
92.71,52.0,37.69,13.49,60.93,7.47,64.02,wheat
80.29,48.54,33.18,13.51,66.21,6.34,77.85,wheat
71.02,44.23,45.03,16.8,47.16,7.0,67.63,wheat
70.48,35.81,34.99,10.34,55.48,6.75,67.03,wheat
72.47,39.54,43.31,12.36,53.88,6.67,59.9,wheat
87.7,57.55,36.87,14.12,45.56,6.12,89.01,wheat
80.15,40.5,30.51,21.67,57.79,6.16,67.98,wheat
86.41,48.5,48.08,14.13,45.85,7.36,69.31,wheat
95.72,54.88,43.46,23.47,66.37,6.04,84.53,wheat
73.11,48.82,46.11,13.98,57.4,6.49,57.67,wheat
87.39,47.26,33.97,13.73,54.68,7.37,82.25,wheat
99.06,50.61,49.35,22.89,47.42,7.2,77.49,wheat
93.74,44.29,32.32,18.78,49.58,7.24,69.74,wheat
85.76,46.45,48.32,17.02,53.76,7.14,52.1,wheat
91.14,52.43,48.93,18.01,53.3,7.39,51.13,wheat
79.36,54.45,47.98,14.51,54.1,6.12,73.09,wheat
98.2,50.83,38.43,11.92,48.82,7.15,59.87,wheat
95.99,59.64,47.61,10.46,52.1,6.78,42.15,wheat
91.39,38.8,44.66,11.71,51.88,7.42,56.42,wheat
75.6,46.36,31.65,11.95,45.41,6.38,69.42,wheat
87.64,41.79,36.5,18.57,47.21,6.94,79.29,wheat
92.14,49.36,31.15,14.44,55.97,7.29,45.35,wheat
99.3,49.89,40.28,22.7,51.76,6.26,41.43,wheat
87.74,46.91,38.08,15.79,46.82,6.63,47.61,wheat
71.4,53.94,43.06,14.44,64.25,6.9,49.18,wheat
83.25,57.57,39.23,20.27,62.9,6.62,65.06,wheat
92.17,45.09,43.6,18.59,55.92,6.57,62.79,wheat
118.71,52.72,118.01,17.35,65.82,6.44,93.83,potato
102.37,50.82,114.52,16.69,65.9,5.74,72.89,potato
106.11,63.9,92.7,12.14,72.66,5.32,52.01,potato
108.2,56.33,92.83,15.83,64.14,5.2,75.97,potato
116.65,51.11,103.23,19.75,64.25,6.23,68.25,potato
111.2,64.63,97.23,16.32,72.68,5.8,93.03,potato
100.91,50.4,116.0,20.45,61.4,5.4,78.91,potato
111.86,59.64,127.98,21.43,69.55,5.54,60.46,potato
91.92,56.4,125.51,14.69,76.33,5.76,94.89,potato
112.66,49.6,111.91,13.87,76.9,5.81,96.47,potato
103.0,51.4,121.92,17.14,79.76,5.53,69.24,potato
101.55,57.01,117.21,17.65,66.83,5.31,62.59,potato
111.23,47.16,99.04,13.08,63.92,5.95,75.18,potato
101.4,61.94,102.4,20.48,64.44,5.33,95.97,potato
89.51,49.0,105.55,21.69,73.05,5.34,80.82,potato
80.04,60.85,103.86,17.96,63.74,6.42,65.02,potato
85.36,53.35,102.51,18.87,68.81,5.83,63.9,potato
97.04,52.47,127.18,19.45,60.72,5.0,91.17,potato
97.67,49.09,115.7,15.87,60.21,5.48,93.72,potato
93.52,55.09,106.09,20.21,77.21,5.53,62.18,potato
107.12,58.18,127.64,14.99,67.77,6.06,68.56,potato
106.39,51.68,93.71,14.0,64.89,5.34,56.54,potato
98.25,64.18,110.8,19.33,73.81,5.01,97.8,potato
114.93,45.99,100.55,19.73,62.54,6.15,56.95,potato
94.45,61.24,129.17,21.41,71.11,6.2,74.66,potato
81.57,63.79,129.88,14.97,72.77,5.8,56.68,potato
86.23,64.14,108.2,15.52,73.98,5.01,86.59,potato
96.42,58.5,121.46,19.5,75.21,5.94,79.23,potato
113.15,56.06,124.54,18.32,72.09,6.32,65.42,potato
113.51,63.47,109.49,21.1,67.1,5.26,79.72,potato
96.45,46.78,90.54,13.79,61.21,5.16,95.23,potato
80.17,60.48,95.02,16.23,67.82,5.45,58.74,potato
109.78,50.19,107.07,18.12,76.17,6.45,91.93,potato
112.17,61.62,123.63,20.55,69.67,5.08,66.09,potato
81.89,46.92,98.27,20.86,65.98,5.37,52.75,potato
105.62,50.99,113.07,15.87,71.17,6.06,88.64,potato
88.58,64.92,92.84,12.79,79.91,6.31,75.46,potato
92.1,46.14,106.55,17.18,61.96,5.18,87.94,potato
103.78,52.65,93.56,12.7,68.3,5.33,60.99,potato
105.69,59.21,94.88,14.05,76.93,5.81,76.86,potato
58.33,28.82,21.89,22.84,58.21,6.55,49.58,mustard
57.37,26.37,25.79,16.05,73.22,6.53,34.37,mustard
45.75,41.89,20.21,21.23,73.37,6.83,43.95,mustard
60.48,41.57,20.57,23.44,73.99,7.76,32.74,mustard
49.57,41.57,30.53,20.7,71.85,6.44,46.53,mustard
49.31,37.79,29.08,23.27,69.17,6.9,46.96,mustard
50.36,44.3,31.81,21.7,60.72,7.68,34.09,mustard
72.8,36.3,29.69,18.52,70.86,6.18,68.68,mustard
66.12,39.31,22.05,13.61,56.88,6.65,68.63,mustard
72.09,36.07,21.51,13.8,68.47,6.59,34.79,mustard
70.69,25.5,32.54,19.17,56.65,6.01,38.37,mustard
60.41,31.95,20.15,15.33,57.72,6.17,25.08,mustard
63.05,29.73,33.66,22.16,66.4,7.38,43.63,mustard
70.08,37.28,28.88,23.74,57.54,7.03,41.46,mustard
73.17,25.6,21.66,17.42,62.04,7.44,49.7,mustard
67.68,39.01,22.55,21.37,64.26,7.38,48.45,mustard
54.43,27.0,23.31,21.42,64.16,6.25,43.19,mustard
51.41,29.3,20.28,22.55,61.33,6.31,56.57,mustard
57.21,30.93,30.48,19.43,64.37,7.03,26.54,mustard
68.69,43.96,31.29,14.16,69.01,7.73,43.29,mustard
47.89,31.38,22.13,17.32,61.27,7.51,50.37,mustard
50.79,43.75,25.14,14.87,58.32,7.16,58.6,mustard
54.39,37.96,20.88,21.86,62.66,6.07,55.38,mustard
67.28,27.27,29.36,19.41,70.03,6.2,42.21,mustard
52.19,38.74,20.62,12.48,72.52,6.53,36.1,mustard
63.99,37.11,20.49,14.34,65.95,7.69,39.7,mustard
69.63,26.9,25.59,13.56,65.76,7.62,67.61,mustard
57.88,44.08,26.79,16.37,56.23,6.2,29.24,mustard
69.59,44.13,21.56,17.78,70.99,6.96,33.92,mustard
51.77,39.69,27.58,13.92,70.56,7.04,63.39,mustard
49.55,35.33,27.62,18.4,55.36,7.46,48.41,mustard
63.23,33.56,32.88,17.37,70.4,6.6,42.07,mustard
45.38,30.8,29.36,12.83,67.09,7.8,40.14,mustard
58.83,25.81,32.01,19.55,74.1,7.01,43.87,mustard
48.13,34.85,28.22,21.27,65.34,6.03,67.91,mustard
61.98,39.3,25.77,20.21,72.51,7.62,57.29,mustard
61.54,40.89,24.84,15.39,70.4,6.27,32.97,mustard
46.36,25.05,22.18,22.21,56.3,6.4,48.3,mustard
64.29,38.95,23.86,20.15,57.18,6.98,32.79,mustard
63.21,26.46,25.3,19.5,58.47,6.65,33.51,mustard
91.67,17.31,34.42,20.88,89.86,6.18,141.73,coffee
95.49,26.66,33.43,20.4,79.62,6.71,179.19,coffee
96.37,32.48,30.31,20.73,94.85,6.46,185.4,coffee
93.86,20.95,39.54,24.31,87.01,6.11,171.23,coffee
114.54,22.11,27.02,23.18,90.92,5.89,196.85,coffee
97.07,29.97,39.38,21.98,80.84,6.4,159.64,coffee
95.54,17.03,28.03,24.37,83.9,5.91,164.95,coffee
109.95,27.34,33.44,19.93,84.13,5.81,196.07,coffee
108.87,23.21,37.73,23.85,92.66,6.73,195.7,coffee
101.68,17.85,28.59,24.18,94.71,5.58,144.97,coffee
89.19,25.12,28.58,26.13,93.25,5.73,178.66,coffee
97.09,32.69,31.01,20.91,90.23,6.25,146.82,coffee
113.67,25.64,30.63,18.91,94.71,5.75,185.81,coffee
97.26,24.44,37.04,21.5,76.94,6.02,219.98,coffee
85.12,29.55,33.75,22.5,80.52,6.77,157.27,coffee
114.41,15.58,30.83,23.7,88.98,5.76,209.6,coffee
85.27,15.0,38.35,18.64,78.0,6.12,168.61,coffee
106.35,15.06,39.43,26.24,85.1,5.58,162.72,coffee
85.83,26.2,36.66,24.27,88.49,6.77,159.99,coffee
91.06,28.77,32.18,25.18,83.43,5.83,161.03,coffee
85.09,28.15,30.31,18.59,94.07,5.57,196.37,coffee
111.74,19.36,39.45,24.73,88.22,6.25,183.78,coffee
101.52,33.37,39.73,24.38,86.17,6.63,182.46,coffee
101.6,27.59,39.01,18.89,91.18,5.51,174.23,coffee
105.51,25.95,34.44,18.41,83.79,6.02,168.87,coffee
109.72,15.6,35.87,27.34,94.33,5.67,142.14,coffee
112.76,24.72,37.94,27.7,80.91,6.7,171.44,coffee
93.43,19.41,26.03,19.09,80.3,5.63,201.14,coffee
99.94,20.26,37.8,22.24,87.55,5.6,216.5,coffee
91.25,22.53,34.51,18.16,87.58,6.63,213.73,coffee
112.16,32.68,30.37,24.13,84.64,6.25,212.5,coffee
92.63,16.6,37.56,26.34,91.69,6.67,210.14,coffee
102.45,34.66,37.85,22.56,86.4,6.41,163.23,coffee
101.13,33.91,30.16,19.03,77.82,5.61,180.22,coffee
85.79,26.15,29.75,25.68,85.18,5.77,188.38,coffee
93.99,32.9,35.25,19.08,79.08,6.48,176.72,coffee
95.4,17.59,30.28,19.92,75.01,5.97,160.16,coffee
96.02,25.37,37.62,22.18,80.44,5.51,188.63,coffee
104.01,23.26,37.98,23.29,85.16,5.77,175.99,coffee
100.15,24.47,32.52,25.5,85.28,6.73,161.78,coffee
